"column","branches","fold_change","true_beta","mean_rate","expected_subs"
"background",75,1,NA,0.00498752138306464,1843.53179155127
"fast",4,2,0.693147180559945,0.0114487851359866,327.749840467218
"slow",19,0.3,-1.20397280432594,0.00133626591573401,144.181051563929
