fastClade	t9_2.75,t23_3.36
fastSisterStem	t27_3.4,t25_4,t11_4.26,t31_2.89,t20_3.86,t45_3.31
slowClade	t19_4.39,t10_4.79,t35_5.37,t7_5.47,t39_4.52,t40_4.3,t18_3.7,t26_4,t17_2.51,t3_2.39
